RangeOffices, zones, divisions , policeStations
South Range ADDL.CP,Charminar DCP,Charminar ACP,Charminar  PS
South Range ADDL.CP,Charminar DCP,Charminar ACP,Hussainialam PS
South Range ADDL.CP,Charminar DCP,Charminar ACP,Moghalpura PS
South Range ADDL.CP,Charminar DCP,Charminar ACP,Shalibanda PS
South Range ADDL.CP,Charminar DCP,Malakpet ACP,Malakpet PS
South Range ADDL.CP,Charminar DCP,Malakpet ACP,Chaderghat PS
South Range ADDL.CP,Charminar DCP,Malakpet ACP,Dabeerpura PS
South Range ADDL.CP,Charminar DCP,Mirchowk ACP,Mirchowk PS
South Range ADDL.CP,Charminar DCP,Mirchowk ACP,Bhavani Nagar PS
South Range ADDL.CP,Charminar DCP,Mirchowk ACP,Rein Bazar PS
South Range ADDL.CP,Charminar DCP,Saidabad ACP,Saidabad PS
South Range ADDL.CP,Charminar DCP,Saidabad ACP,Madannapet PS
South Range ADDL.CP,Charminar DCP,Santosh Nagar ACP,Santosh Nagar PS
South Range ADDL.CP,Charminar DCP,Santosh Nagar ACP,IS Sadan PS
South Range ADDL.CP,Charminar DCP,Santosh Nagar ACP,Chatrinaka PS
South Range ADDL.CP,Shamshabad DCP,Adibatla ACP,Adibatla PS
South Range ADDL.CP,Shamshabad DCP,Adibatla ACP,Balapur PS
South Range ADDL.CP,Shamshabad DCP,Adibatla ACP,Meerpet PS
South Range ADDL.CP,Shamshabad DCP,RGIA ACP,RGIA PS
South Range ADDL.CP,Shamshabad DCP,RGIA ACP,Pahadi Shareef PS
South Range ADDL.CP,Golconda DCP,Asif Nagar ACP,Asif Nagar PS
South Range ADDL.CP,Golconda DCP,Asif Nagar ACP,Mehdipatnam PS
South Range ADDL.CP,Golconda DCP,Asif Nagar ACP,Habeeb Nagar PS
South Range ADDL.CP,Golconda DCP,Asif Nagar ACP,Masab Tank PS
South Range ADDL.CP,Golconda DCP,Goshamahal ACP,Goshamahal PS
South Range ADDL.CP,Golconda DCP,Goshamahal ACP,Begum Bazaar PS
South Range ADDL.CP,Golconda DCP,Goshamahal ACP,Afzalgunj PS
South Range ADDL.CP,Golconda DCP,Kulsumpura ACP,Kulsumpura PS
South Range ADDL.CP,Golconda DCP,Kulsumpura ACP,Tappachabutra PS
South Range ADDL.CP,Golconda DCP,Kulsumpura ACP,Gudimalkapur PS
South Range ADDL.CP,Golconda DCP,Kulsumpura ACP,Mangalhat PS
South Range ADDL.CP,Golconda DCP,Tolichowki ACP,Tolichowki PS
South Range ADDL.CP,Golconda DCP,Tolichowki ACP,Golconda PS
South Range ADDL.CP,Golconda DCP,Tolichowki ACP,Langar House PS
South Range ADDL.CP,Rajendra Nagar DCP,Rajendra Nagar ACP,Rajendra Nagar PS
South Range ADDL.CP,Rajendra Nagar DCP,Rajendra Nagar ACP,Attapur PS
South Range ADDL.CP,Rajendra Nagar DCP,Chandrayangutta ACP,Chandrayangutta PS
South Range ADDL.CP,Rajendra Nagar DCP,Chandrayangutta ACP,Bandlaguda PS
South Range ADDL.CP,Rajendra Nagar DCP,Chandrayangutta ACP,Kanchanbagh PS
South Range ADDL.CP,Rajendra Nagar DCP,Chandrayangutta ACP,Mailardevpally PS
South Range ADDL.CP,Rajendra Nagar DCP,Falaknuma ACP,Falaknuma PS
South Range ADDL.CP,Rajendra Nagar DCP,Falaknuma ACP,Kamatipura PS
South Range ADDL.CP,Rajendra Nagar DCP,Falaknuma ACP,Bahadurpura PS
South Range ADDL.CP,Rajendra Nagar DCP,Falaknuma ACP,Kalapathar PS
North Range JT.CP,Secunderabad DCP,Chikkadpally ACP,Chikkadpally PS
North Range JT.CP,Secunderabad DCP,Chikkadpally ACP,Musheerabad PS
North Range JT.CP,Secunderabad DCP,Chikkadpally ACP,Kachiguda PS
North Range JT.CP,Secunderabad DCP,Chilkalguda ACP,Chilkalguda PS
North Range JT.CP,Secunderabad DCP,Chilkalguda ACP,Lalaguda PS
North Range JT.CP,Secunderabad DCP,Chilkalguda ACP,Warasiguda PS
North Range JT.CP,Secunderabad DCP,Gandhinagar ACP,Gandhinagar PS
North Range JT.CP,Secunderabad DCP,Gandhinagar ACP,Domalguda PS
North Range JT.CP,Secunderabad DCP,Mahankali ACP,Mahankali PS
North Range JT.CP,Secunderabad DCP,Mahankali ACP,Ramgopalpet PS
North Range JT.CP,Secunderabad DCP,Osmania University ACP,Osmania University PS
North Range JT.CP,Secunderabad DCP,Osmania University ACP,Amberpet PS
North Range JT.CP,Secunderabad DCP,Osmania University ACP,Nallakunta PS
North Range JT.CP,Jubilee Hills DCP,Jubilee Hills ACP,Jubilee Hills PS
North Range JT.CP,Jubilee Hills DCP,Jubilee Hills ACP,Film Nagar PS
North Range JT.CP,Jubilee Hills DCP,Banjara Hills ACP,Banjara Hills PS
North Range JT.CP,Jubilee Hills DCP,Banjara Hills ACP,Madhura Nagar PS
North Range JT.CP,Jubilee Hills DCP,SR Nagar ACP,SR Nagar PS
North Range JT.CP,Jubilee Hills DCP,SR Nagar ACP,Borabanda PS
North Range JT.CP,Jubilee Hills DCP,SR Nagar ACP,Sanath Nagar PS
North Range JT.CP,Khairatabad DCP,Abids ACP,Abids PS
North Range JT.CP,Khairatabad DCP,Abids ACP,Nampally PS
North Range JT.CP,Khairatabad DCP,Panjagutta ACP,Panjagutta PS
North Range JT.CP,Khairatabad DCP,Panjagutta ACP,Khairatabad PS
North Range JT.CP,Khairatabad DCP,Saifabad ACP,Saifabad PS
North Range JT.CP,Khairatabad DCP,Saifabad ACP,Lake PS
North Range JT.CP,Khairatabad DCP,Sultan Bazar ACP,Sultan Bazar PS
North Range JT.CP,Khairatabad DCP,Sultan Bazar ACP,Narayanaguda PS
